p_value	term_id	source	term_name
4.81980649974188e-10	GO:0048248	GO:MF	CXCR3 chemokine receptor binding
2.66332133347358e-09	GO:0005126	GO:MF	cytokine receptor binding
5.39593298340416e-09	GO:0001664	GO:MF	G protein-coupled receptor binding
1.00075615089197e-07	GO:0140677	GO:MF	molecular function activator activity
1.4970371509958e-06	GO:0098772	GO:MF	molecular function regulator activity
0.000163133683802806	GO:0008083	GO:MF	growth factor activity
0.000221743913188532	GO:0030297	GO:MF	transmembrane receptor protein tyrosine kinase activator activity
0.00134531421122783	GO:0005102	GO:MF	signaling receptor binding
0.00321907151648096	GO:0008201	GO:MF	heparin binding
0.00534848131889674	GO:0005154	GO:MF	epidermal growth factor receptor binding
0.00534848131889674	GO:0030296	GO:MF	protein tyrosine kinase activator activity
0.0258935493618716	GO:0019887	GO:MF	protein kinase regulator activity
0.0295103548866621	GO:0005539	GO:MF	glycosaminoglycan binding
6.97589053227616e-14	KEGG:04061	KEGG	Viral protein interaction with cytokine and cytokine receptor
4.23189127832449e-10	KEGG:04062	KEGG	Chemokine signaling pathway
7.10046398513537e-09	KEGG:04060	KEGG	Cytokine-cytokine receptor interaction
2.54899575381979e-05	KEGG:04657	KEGG	IL-17 signaling pathway
0.000388749098574142	KEGG:05323	KEGG	Rheumatoid arthritis
0.00164816432759218	KEGG:04668	KEGG	TNF signaling pathway
0.0150206191087895	KEGG:05134	KEGG	Legionellosis
0.0332194718902246	KEGG:05120	KEGG	Epithelial cell signaling in Helicobacter pylori infection
3.11923366344577e-15	REAC:R-HSA-380108	REAC	Chemokine receptors bind chemokines
1.2825335879823e-08	REAC:R-HSA-375276	REAC	Peptide ligand-binding receptors
2.95531654989431e-06	REAC:R-HSA-418594	REAC	G alpha (i) signalling events
4.99245765485055e-06	REAC:R-HSA-373076	REAC	Class A/1 (Rhodopsin-like receptors)
8.95372110488665e-06	REAC:R-HSA-5638303	REAC	Inhibition of Signaling by Overexpressed EGFR
8.95372110488665e-06	REAC:R-HSA-5638302	REAC	Signaling by Overexpressed Wild-Type EGFR in Cancer
1.60641138132069e-05	REAC:R-HSA-212718	REAC	EGFR interacts with phospholipase C-gamma
4.17986092349824e-05	REAC:R-HSA-179812	REAC	GRB2 events in EGFR signaling
6.24933852680142e-05	REAC:R-HSA-180336	REAC	SHC1 events in EGFR signaling
0.000197169866460408	REAC:R-HSA-500792	REAC	GPCR ligand binding
0.000226790541986431	REAC:R-HSA-180292	REAC	GAB1 signalosome
0.00107848391494804	REAC:R-HSA-1643713	REAC	Signaling by EGFR in Cancer
0.00128996200467058	REAC:R-HSA-9634638	REAC	Estrogen-dependent nuclear events downstream of ESR-membrane signaling
0.00230428733548245	REAC:R-HSA-8856825	REAC	Cargo recognition for clathrin-mediated endocytosis
0.00326235162752694	REAC:R-HSA-182971	REAC	EGFR downregulation
0.00474129396913527	REAC:R-HSA-388396	REAC	GPCR downstream signalling
0.0143255364690015	REAC:R-HSA-372790	REAC	Signaling by GPCR
0.0148018911860413	REAC:R-HSA-8856828	REAC	Clathrin-mediated endocytosis
0.0168896804452591	REAC:R-HSA-6783783	REAC	Interleukin-10 signaling
0.0218423901020112	REAC:R-HSA-177929	REAC	Signaling by EGFR
0.00542667873211401	TF:M08773	TF	Factor: HOXA7; motif: NYMATTAN
0.00988685841580765	TF:M08772_1	TF	Factor: HOXA6; motif: NYMATTAN; match class: 1
0.0132091400304512	TF:M11913	TF	Factor: POU3F2; motif: TAATTANNNNNNTAATTA
0.0190356162219544	TF:M04300	TF	Factor: Dlx-2; motif: NYAATTAN
0.0400794946663112	TF:M01734	TF	Factor: NFATc4; motif: WNNTTTTCCT
8.83370988177323e-14	WP:WP5039	WP	SARS-CoV-2 innate immunity evasion and cell-specific immune response
3.6357444805631e-13	WP:WP5095	WP	Overview of proinflammatory and profibrotic mediators
2.77859558211936e-05	WP:WP5115	WP	Network map of SARS-CoV-2 signaling pathway
0.000115738034139179	WP:WP5088	WP	Prostaglandin signaling
0.000365505355241253	WP:WP3929	WP	Chemokine signaling pathway
